label-conc_cb	mean_t-conc_cb	2.5%q-conc_cb	97.5%q-conc_cb	label-indATP	mean_t-indATP	2.5%q-indATP	97.5%q-indATP	label-indEF	mean_t-indEF	2.5%q-indEF	97.5%q-indEF	label-indLeu	mean_t-indLeu	2.5%q-indLeu	97.5%q-indLeu	label-indSRP	mean_t-indSRP	2.5%q-indSRP	97.5%q-indSRP	label-indTyr	mean_t-indTyr	2.5%q-indTyr	97.5%q-indTyr	label-noATP	mean_t-noATP	2.5%q-noATP	97.5%q-noATP	label-noEF	mean_t-noEF	2.5%q-noEF	97.5%q-noEF	label-noLeu	mean_t-noLeu	2.5%q-noLeu	97.5%q-noLeu	label-noSRP	mean_t-noSRP	2.5%q-noSRP	97.5%q-noSRP	label-noTyr	mean_t-noTyr	2.5%q-noTyr	97.5%q-noTyr	label-bsinBV	mean_t-bsinBV	2.5%q-bsinBV	97.5%q-bsinBV
t_n341_EUDICOT-MONOCOT-DUP2	239.882	212.33	256.18	t_n341_EUDICOT-MONOCOT-DUP2	188.662	129.68	246.36	t_n341_EUDICOT-MONOCOT-DUP2	214.255	144.42	250.44	t_n341_EUDICOT-MONOCOT-DUP2	211.498	143.32	249.81	t_n341_EUDICOT-MONOCOT-DUP2	187.689	128.13	247.17	t_n341_EUDICOT-MONOCOT-DUP2	196.255	130.21	248.23	t_n334_EUDICOT-MONOCOT-DUP2	240.653	213.7	256.86	t_n377_FUNGI-DUP2	963.018	780.33	1156.02	t_n337_EUDICOT-MONOCOT-DUP2	236.191	201.23	254.65	t_n341_EUDICOT-MONOCOT-DUP2	238.817	209.49	255.63	t_n338_EUDICOT-MONOCOT-DUP2	236.792	204.04	254.66	t_n341_EUDICOT-MONOCOT-DUP2	239.844	212.29	256.09
t_n368_LUCA-DUP	4180.639	4026.54	4311.36	t_n368_LUCA-DUP	4359.399	4204.4	4472.52	t_n368_LUCA-DUP	4238.878	4012.84	4402.47	t_n368_LUCA-DUP	4286.636	4099.99	4419.04	t_n368_LUCA-DUP	4225.882	4034.98	4377.38	t_n368_LUCA-DUP	4382.392	4196.82	4495.38	t_n359_LUCA-DUP	4153.652	3969.63	4307.44	t_n379_METAZOA	603.608	589.68	610.54	t_n364_LUCA-DUP	4190.176	4030.1	4324.71	t_n368_LUCA-DUP	4195.132	4036.77	4327.81	t_n365_LUCA-DUP	4182.599	4024.56	4316.6	t_n368_LUCA-DUP	4180.934	4021.43	4316.26
t_n391_TG-EUKARYA-MITO-DUP	1851.98	1634.36	2105.92	t_n391_TG-EUKARYA-MITO-DUP	2165.321	1717.88	2703.9	t_n391_TG-EUKARYA-MITO-DUP	2824.898	1991.15	3632.29	t_n391_TG-EUKARYA-MITO-DUP	2010.725	1666.45	2466.14	t_n391_TG-EUKARYA-MITO-DUP	2875.584	2117.01	3523.12	t_n391_TG-EUKARYA-MITO-DUP	2886.878	2085.93	3627.67	t_n382_TG-EUKARYA-MITO-DUP	1998.221	1728.12	2311.19	t_n380_EUMETAZOA-DUP2	568.282	561.33	582.96	t_n387_TG-EUKARYA-MITO-DUP	1937.384	1660.75	2279.35	t_n391_TG-EUKARYA-MITO-DUP	1865.937	1626.71	2147.64	t_n388_TG-EUKARYA-MITO-DUP	1907.347	1676.91	2177.89	t_n391_TG-EUKARYA-MITO-DUP	1769.039	1562.38	2010.53
t_n395_FUNGI-DUP2	913.297	737.25	1100.93	t_n395_FUNGI-DUP2	858.59	602.52	1144.44	t_n395_FUNGI-DUP2	886.934	467.06	1384.14	t_n395_FUNGI-DUP2	877.201	560.87	1223.07	t_n395_FUNGI-DUP2	963.864	643.4	1312.34	t_n395_FUNGI-DUP2	900.5	447.11	1441.48	t_n386_FUNGI-DUP2	915.612	710.06	1137.09	t_n384_ARCHAEPLASTIDA-DUP3	1376.805	1240.28	1517.3	t_n391_FUNGI-DUP2	860.756	662.09	1075.95	t_n395_FUNGI-DUP2	886.018	698.85	1087.79	t_n392_FUNGI-DUP2	924.789	739.29	1122.45	t_n395_FUNGI-DUP2	900.942	721.45	1093.26
t_n397_METAZOA	605.04	593.53	610.89	t_n397_METAZOA	596.895	577.23	609.52	t_n397_METAZOA	595.877	576.55	609.4	t_n397_METAZOA	599.088	579.47	609.81	t_n397_METAZOA	596.718	577	609.52	t_n397_METAZOA	594.482	575.89	609.21	t_n388_METAZOA	604.135	590.62	610.68	t_n386_EMBRYOPHYTA-DUP3	478.883	434.27	515.86	t_n393_METAZOA	603.248	588.63	610.46	t_n397_METAZOA	604.348	591.58	610.71	t_n394_METAZOA	604.574	592.19	610.77	t_n397_METAZOA	605.032	593.65	610.87
t_n398_EUMETAZOA-DUP2	566.837	561.28	579.27	t_n398_EUMETAZOA-DUP2	572.863	561.57	589.57	t_n398_EUMETAZOA-DUP2	574.084	561.68	590.15	t_n398_EUMETAZOA-DUP2	572.358	561.52	589.24	t_n398_EUMETAZOA-DUP2	573.517	561.61	589.91	t_n398_EUMETAZOA-DUP2	574.493	561.72	590.21	t_n389_EUMETAZOA-DUP2	568.298	561.32	583.31	t_n387_EUDICOT-MONOCOT-DUP3	222.748	171.17	250.89	t_n394_EUMETAZOA-DUP2	568.251	561.32	583.12	t_n398_EUMETAZOA-DUP2	567.586	561.3	581.35	t_n395_EUMETAZOA-DUP2	567.376	561.29	580.71	t_n398_EUMETAZOA-DUP2	566.665	561.27	578.68
t_n402_ARCHAEPLASTIDA-DUP3	1357.072	1221.6	1498.27	t_n402_ARCHAEPLASTIDA-DUP3	1327.832	1132.05	1530.76	t_n402_ARCHAEPLASTIDA-DUP3	1465.003	1173.79	1721.69	t_n402_ARCHAEPLASTIDA-DUP3	1531.806	1326.71	1720.02	t_n402_ARCHAEPLASTIDA-DUP3	1594.521	1388.74	1772.29	t_n402_ARCHAEPLASTIDA-DUP3	1493.675	1200.2	1742.81	t_n393_ARCHAEPLASTIDA-DUP3	1430.107	1272.28	1588.01	t_n395_CG-FORAMINIFERA-DUP1	769.431	581.74	976.38	t_n398_ARCHAEPLASTIDA-DUP3	1317.576	1164.14	1477.06	t_n402_ARCHAEPLASTIDA-DUP3	1319.104	1175.78	1469.39	t_n399_ARCHAEPLASTIDA-DUP3	1403.504	1261.69	1546.42	t_n402_ARCHAEPLASTIDA-DUP3	1363.407	1223.04	1510.09
t_n404_EMBRYOPHYTA-DUP3	475.019	433.47	515.22	t_n404_EMBRYOPHYTA-DUP3	468.015	432.1	514.03	t_n404_EMBRYOPHYTA-DUP3	472.699	432.56	515.22	t_n404_EMBRYOPHYTA-DUP3	477.036	433.35	515.88	t_n404_EMBRYOPHYTA-DUP3	478.153	433.56	516.01	t_n404_EMBRYOPHYTA-DUP3	472.823	432.56	515.25	t_n395_EMBRYOPHYTA-DUP3	480.256	434.5	516.11	t_n404_TG-OXYPHOTOBACTERIA-DUP	2991.198	2946.25	3106.54	t_n400_EMBRYOPHYTA-DUP3	469.826	432.43	514.32	t_n404_EMBRYOPHYTA-DUP3	471.349	432.68	514.54	t_n401_EMBRYOPHYTA-DUP3	475.881	433.52	515.37	t_n404_EMBRYOPHYTA-DUP3	466.801	432.15	513.13
t_n405_EUDICOT-MONOCOT-DUP3	239.882	212.33	256.18	t_n405_EUDICOT-MONOCOT-DUP3	188.662	129.68	246.36	t_n405_EUDICOT-MONOCOT-DUP3	214.255	144.42	250.44	t_n405_EUDICOT-MONOCOT-DUP3	211.498	143.32	249.81	t_n405_EUDICOT-MONOCOT-DUP3	187.689	128.13	247.17	t_n405_EUDICOT-MONOCOT-DUP3	196.255	130.21	248.23	t_n396_EUDICOT-MONOCOT-DUP3	240.653	213.7	256.86	t_n405_CG-OXYPHOTOBACTERIA-DUP	2155.899	1972.97	2426.01	t_n401_EUDICOT-MONOCOT-DUP3	236.191	201.23	254.65	t_n405_EUDICOT-MONOCOT-DUP3	238.817	209.49	255.63	t_n402_EUDICOT-MONOCOT-DUP3	236.792	204.04	254.66	t_n405_EUDICOT-MONOCOT-DUP3	239.844	212.29	256.09
t_n413_CG-FORAMINIFERA-DUP1	753.839	569.35	961.83	t_n413_CG-FORAMINIFERA-DUP1	792.359	556.55	1080.84	t_n413_CG-FORAMINIFERA-DUP1	871.369	537.09	1399.02	t_n413_CG-FORAMINIFERA-DUP1	902.327	570.97	1274.83	t_n413_CG-FORAMINIFERA-DUP1	812.553	554.64	1141.84	t_n413_CG-FORAMINIFERA-DUP1	887.73	537.52	1459.53	t_n404_CG-FORAMINIFERA-DUP1	808.125	583.46	1057.3	t_n408_ARCHAEPLASTIDA-DUP4	1376.805	1240.28	1517.3	t_n409_CG-FORAMINIFERA-DUP1	736.36	550.56	962.99	t_n413_CG-FORAMINIFERA-DUP1	734.426	551.44	956.66	t_n410_CG-FORAMINIFERA-DUP1	783.513	584.54	1001.77	t_n413_CG-FORAMINIFERA-DUP1	741.104	557.55	956.41
t_n422_TG-OXYPHOTOBACTERIA-DUP	2985.231	2946.07	3087.4	t_n422_TG-OXYPHOTOBACTERIA-DUP	3035.985	2947.64	3245.77	t_n422_TG-OXYPHOTOBACTERIA-DUP	3271.453	2960.26	3746.58	t_n422_TG-OXYPHOTOBACTERIA-DUP	3081.873	2949.53	3360.72	t_n422_TG-OXYPHOTOBACTERIA-DUP	3121.452	2951.2	3456.73	t_n422_TG-OXYPHOTOBACTERIA-DUP	3310.577	2962.23	3826.71	t_n413_TG-OXYPHOTOBACTERIA-DUP	3005.619	2946.66	3153.28	t_n412_EMBRYOPHYTA-DUP4	478.883	434.27	515.86	t_n418_TG-OXYPHOTOBACTERIA-DUP	2994.566	2946.33	3118.37	t_n422_TG-OXYPHOTOBACTERIA-DUP	2991.617	2946.26	3108.54	t_n419_TG-OXYPHOTOBACTERIA-DUP	2987.439	2946.13	3095.18	t_n422_TG-OXYPHOTOBACTERIA-DUP	2991.615	2946.24	3108.04
t_n423_CG-OXYPHOTOBACTERIA-DUP	2128.849	1956.9	2391.43	t_n423_CG-OXYPHOTOBACTERIA-DUP	2274.606	1986.15	2690.91	t_n423_CG-OXYPHOTOBACTERIA-DUP	2558.136	2020.07	3231.35	t_n423_CG-OXYPHOTOBACTERIA-DUP	2396.935	2038.18	2798.35	t_n423_CG-OXYPHOTOBACTERIA-DUP	2310.803	2004.64	2730.42	t_n423_CG-OXYPHOTOBACTERIA-DUP	2374.988	1989.04	3019.06	t_n414_CG-OXYPHOTOBACTERIA-DUP	2181.775	1977.03	2486.33	t_n438_TG-EUKARYA-ARCH-DUP	2565.395	2315.98	2819.44	t_n419_CG-OXYPHOTOBACTERIA-DUP	2136.278	1951	2434.96	t_n423_CG-OXYPHOTOBACTERIA-DUP	2135.85	1954.23	2422.67	t_n420_CG-OXYPHOTOBACTERIA-DUP	2140.763	1963.59	2412.32	t_n423_CG-OXYPHOTOBACTERIA-DUP	2127.215	1954.34	2396.3
t_n426_ARCHAEPLASTIDA-DUP4	1357.072	1221.6	1498.27	t_n426_ARCHAEPLASTIDA-DUP4	1327.832	1132.05	1530.76	t_n426_ARCHAEPLASTIDA-DUP4	1465.003	1173.79	1721.69	t_n426_ARCHAEPLASTIDA-DUP4	1531.806	1326.71	1720.02	t_n426_ARCHAEPLASTIDA-DUP4	1594.521	1388.74	1772.29	t_n426_ARCHAEPLASTIDA-DUP4	1493.675	1200.2	1742.81	t_n417_ARCHAEPLASTIDA-DUP4	1430.107	1272.28	1588.01	t_n439_LECA-DUP	1725.549	1559.96	1876.13	t_n422_ARCHAEPLASTIDA-DUP4	1317.576	1164.14	1477.06	t_n426_ARCHAEPLASTIDA-DUP4	1319.104	1175.78	1469.39	t_n423_ARCHAEPLASTIDA-DUP4	1403.504	1261.69	1546.42	t_n426_ARCHAEPLASTIDA-DUP4	1363.407	1223.04	1510.09
t_n430_EMBRYOPHYTA-DUP4	475.019	433.47	515.22	t_n430_EMBRYOPHYTA-DUP4	468.015	432.1	514.03	t_n430_EMBRYOPHYTA-DUP4	472.699	432.56	515.22	t_n430_EMBRYOPHYTA-DUP4	477.036	433.35	515.88	t_n430_EMBRYOPHYTA-DUP4	478.153	433.56	516.01	t_n430_EMBRYOPHYTA-DUP4	472.823	432.56	515.25	t_n421_EMBRYOPHYTA-DUP4	480.256	434.5	516.11	t_n442_FUNGI-DUP	963.018	780.33	1156.02	t_n425_EMBRYOPHYTA-DUP4	469.826	432.43	514.32	t_n430_EMBRYOPHYTA-DUP4	471.349	432.68	514.54	t_n427_EMBRYOPHYTA-DUP4	475.881	433.52	515.37	t_n430_EMBRYOPHYTA-DUP4	466.801	432.15	513.13
t_n456_TG-EUKARYA-ARCH-DUP	2504.374	2256.1	2758.11	t_n456_TG-EUKARYA-ARCH-DUP	2697.576	2343.02	3058.17	t_n456_TG-EUKARYA-ARCH-DUP	2803.1	2270.55	3318.98	t_n456_TG-EUKARYA-ARCH-DUP	2683.119	2308.85	3080.62	t_n456_TG-EUKARYA-ARCH-DUP	2944.971	2597.01	3295.33	t_n456_TG-EUKARYA-ARCH-DUP	2695.644	2175.78	3259.93	t_n447_TG-EUKARYA-ARCH-DUP	2558.43	2282.71	2842.66	t_n444_METAZOA	603.608	589.68	610.54	t_n451_TG-EUKARYA-ARCH-DUP	2504.4	2233.84	2782.43	t_n456_TG-EUKARYA-ARCH-DUP	2508.559	2243.94	2779.46	t_n453_TG-EUKARYA-ARCH-DUP	2590.375	2335.08	2850.34	t_n456_TG-EUKARYA-ARCH-DUP	2522.788	2264.24	2788.22
t_n457_LECA-DUP	1699.09	1535.69	1861.16	t_n457_LECA-DUP	1764.058	1548.29	1903.39	t_n457_LECA-DUP	1821.275	1626.22	1933.6	t_n457_LECA-DUP	1857.084	1725.89	1955.07	t_n457_LECA-DUP	1828.494	1669.22	1929.78	t_n457_LECA-DUP	1823.718	1632.41	1934.42	t_n448_LECA-DUP	1741.868	1565.17	1885.46	t_n445_EUMETAZOA-DUP3	568.282	561.33	582.96	t_n452_LECA-DUP	1714.795	1530.18	1877.58	t_n457_LECA-DUP	1684.551	1507.72	1859.69	t_n454_LECA-DUP	1756.891	1590.56	1888.56	t_n457_LECA-DUP	1680.677	1512.1	1853.13
t_n460_FUNGI-DUP	913.297	737.25	1100.93	t_n460_FUNGI-DUP	858.59	602.52	1144.44	t_n460_FUNGI-DUP	886.934	467.06	1384.14	t_n460_FUNGI-DUP	877.201	560.87	1223.07	t_n460_FUNGI-DUP	963.864	643.4	1312.34	t_n460_FUNGI-DUP	900.5	447.11	1441.48	t_n451_FUNGI-DUP	915.612	710.06	1137.09	t_n450_ARCHAEPLASTIDA-DUP5	1376.805	1240.28	1517.3	t_n455_FUNGI-DUP	860.756	662.09	1075.95	t_n460_FUNGI-DUP	886.018	698.85	1087.79	t_n457_FUNGI-DUP	924.789	739.29	1122.45	t_n460_FUNGI-DUP	900.942	721.45	1093.26
t_n462_METAZOA	605.04	593.53	610.89	t_n462_METAZOA	596.895	577.23	609.52	t_n462_METAZOA	595.877	576.55	609.4	t_n462_METAZOA	599.088	579.47	609.81	t_n462_METAZOA	596.718	577	609.52	t_n462_METAZOA	594.482	575.89	609.21	t_n452_METAZOA	604.135	590.62	610.68	t_n453_EMBRYOPHYTA-DUP5	478.883	434.27	515.86	t_n457_METAZOA	603.248	588.63	610.46	t_n462_METAZOA	604.348	591.58	610.71	t_n459_METAZOA	604.574	592.19	610.77	t_n462_METAZOA	605.032	593.65	610.87
t_n463_EUMETAZOA-DUP3	566.837	561.28	579.27	t_n463_EUMETAZOA-DUP3	572.863	561.57	589.57	t_n463_EUMETAZOA-DUP3	574.084	561.68	590.15	t_n463_EUMETAZOA-DUP3	572.358	561.52	589.24	t_n463_EUMETAZOA-DUP3	573.517	561.61	589.91	t_n463_EUMETAZOA-DUP3	574.493	561.72	590.21	t_n453_EUMETAZOA-DUP3	568.298	561.32	583.31	t_n454_EUDICOT-MONOCOT-DUP4	222.748	171.17	250.89	t_n458_EUMETAZOA-DUP3	568.251	561.32	583.12	t_n463_EUMETAZOA-DUP3	567.586	561.3	581.35	t_n460_EUMETAZOA-DUP3	567.376	561.29	580.71	t_n463_EUMETAZOA-DUP3	566.665	561.27	578.68
t_n468_ARCHAEPLASTIDA-DUP5	1357.072	1221.6	1498.27	t_n468_ARCHAEPLASTIDA-DUP5	1327.832	1132.05	1530.76	t_n468_ARCHAEPLASTIDA-DUP5	1465.003	1173.79	1721.69	t_n468_ARCHAEPLASTIDA-DUP5	1531.806	1326.71	1720.02	t_n468_ARCHAEPLASTIDA-DUP5	1594.521	1388.74	1772.29	t_n468_ARCHAEPLASTIDA-DUP5	1493.675	1200.2	1742.81	t_n458_ARCHAEPLASTIDA-DUP5	1430.107	1272.28	1588.01	t_n461_CG-FORAMINIFERA-DUP2	769.431	581.74	976.38	t_n463_ARCHAEPLASTIDA-DUP5	1317.576	1164.14	1477.06	t_n468_ARCHAEPLASTIDA-DUP5	1319.104	1175.78	1469.39	t_n465_ARCHAEPLASTIDA-DUP5	1403.504	1261.69	1546.42	t_n468_ARCHAEPLASTIDA-DUP5	1363.407	1223.04	1510.09
t_n471_EMBRYOPHYTA-DUP5	475.019	433.47	515.22	t_n471_EMBRYOPHYTA-DUP5	468.015	432.1	514.03	t_n471_EMBRYOPHYTA-DUP5	472.699	432.56	515.22	t_n471_EMBRYOPHYTA-DUP5	477.036	433.35	515.88	t_n471_EMBRYOPHYTA-DUP5	478.153	433.56	516.01	t_n471_EMBRYOPHYTA-DUP5	472.823	432.56	515.25	t_n461_EMBRYOPHYTA-DUP5	480.256	434.5	516.11	nocal	nocal	nocal	nocal	t_n465_EMBRYOPHYTA-DUP5	469.826	432.43	514.32	t_n471_EMBRYOPHYTA-DUP5	471.349	432.68	514.54	t_n468_EMBRYOPHYTA-DUP5	475.881	433.52	515.37	t_n471_EMBRYOPHYTA-DUP5	466.801	432.15	513.13
t_n472_EUDICOT-MONOCOT-DUP4	239.882	212.33	256.18	t_n472_EUDICOT-MONOCOT-DUP4	188.662	129.68	246.36	t_n472_EUDICOT-MONOCOT-DUP4	214.255	144.42	250.44	t_n472_EUDICOT-MONOCOT-DUP4	211.498	143.32	249.81	t_n472_EUDICOT-MONOCOT-DUP4	187.689	128.13	247.17	t_n472_EUDICOT-MONOCOT-DUP4	196.255	130.21	248.23	t_n462_EUDICOT-MONOCOT-DUP4	240.653	213.7	256.86	nocal	nocal	nocal	nocal	t_n466_EUDICOT-MONOCOT-DUP4	236.191	201.23	254.65	t_n472_EUDICOT-MONOCOT-DUP4	238.817	209.49	255.63	t_n469_EUDICOT-MONOCOT-DUP4	236.792	204.04	254.66	t_n472_EUDICOT-MONOCOT-DUP4	239.844	212.29	256.09
t_n480_CG-FORAMINIFERA-DUP2	753.839	569.35	961.83	t_n480_CG-FORAMINIFERA-DUP2	792.359	556.55	1080.84	t_n480_CG-FORAMINIFERA-DUP2	871.369	537.09	1399.02	t_n480_CG-FORAMINIFERA-DUP2	902.327	570.97	1274.83	t_n480_CG-FORAMINIFERA-DUP2	812.553	554.64	1141.84	t_n480_CG-FORAMINIFERA-DUP2	887.73	537.52	1459.53	t_n470_CG-FORAMINIFERA-DUP2	808.125	583.46	1057.3	nocal	nocal	nocal	nocal	t_n474_CG-FORAMINIFERA-DUP2	736.36	550.56	962.99	t_n480_CG-FORAMINIFERA-DUP2	734.426	551.44	956.66	t_n477_CG-FORAMINIFERA-DUP2	783.513	584.54	1001.77	t_n480_CG-FORAMINIFERA-DUP2	741.104	557.55	956.41
